iter	RMSE
0	0.3119279173
1	0.3115497004
2	0.3112238353
3	0.3109432987
4	0.3106446186
5	0.3103512622
6	0.3101027213
7	0.3098175542
8	0.3095018323
9	0.3092621558
10	0.3089827889
11	0.3086120285
12	0.3083088793
13	0.3080140529
14	0.307733036
15	0.3074693007
16	0.3072189922
17	0.3069815902
18	0.3067190192
19	0.3064715335
20	0.306210938
21	0.3060032133
22	0.3057537773
23	0.3054698866
24	0.3052229045
25	0.3049559203
26	0.3047194183
27	0.304494531
28	0.3042115112
29	0.3039258712
30	0.3037024694
31	0.3034733162
32	0.3032646858
33	0.3030248168
34	0.3028126424
35	0.3024974974
36	0.302242245
37	0.302060709
38	0.3018163623
39	0.3016154226
40	0.3013874086
41	0.3011249682
42	0.3009092591
43	0.3007021424
44	0.300490265
45	0.3002800614
46	0.3000393469
47	0.2998517561
48	0.2996342967
49	0.2994273735
50	0.2992129799
51	0.2990232878
52	0.2988187809
53	0.2986422773
54	0.2983815909
55	0.2981301382
56	0.2978983457
57	0.2976992943
58	0.2975308789
59	0.2973104273
60	0.2971065973
61	0.2969429387
62	0.2967910054
63	0.2965760363
64	0.2963820484
65	0.2962435566
66	0.2960823659
67	0.2959403244
68	0.2957729068
69	0.2956132894
70	0.2954732434
71	0.2953271437
72	0.2951675849
73	0.295023403
74	0.2948381755
75	0.2946803697
76	0.29452558
77	0.2943515071
78	0.29417973
79	0.294029847
80	0.2938347538
81	0.2936784115
82	0.2935597082
83	0.2933962165
84	0.293245846
85	0.2931310903
86	0.2929526508
87	0.292773015
88	0.2926500247
89	0.2924931123
90	0.2923786787
91	0.2922231098
92	0.2920839021
93	0.2919432672
94	0.2918070524
95	0.2916383636
96	0.2914503868
97	0.2913265374
98	0.2911947696
99	0.2910632618
100	0.2909321138
101	0.2908441831
102	0.290717507
103	0.2905760754
104	0.2904154742
105	0.2902816182
106	0.2901382423
107	0.2900320898
108	0.2899019885
109	0.2898049615
110	0.2896607561
111	0.2895555892
112	0.289434432
113	0.2893275352
114	0.2892252701
115	0.2890925154
116	0.2889604439
